[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\utils\timezone.py first seen with mtime 1682711749.219455
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File C:\Users\Data_Science\AppData\Local\Programs\Python\Python311\Lib\asyncio\constants.py first seen with mtime 1680671050.0
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1682711749.0424247
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\utils\formats.py first seen with mtime 1682711749.2124522
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\pkg_resources\_vendor\jaraco\text\__init__.py first seen with mtime 1682710247.5817478
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\pytz\__init__.py first seen with mtime 1682711706.547278
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\core\files\temp.py first seen with mtime 1682711749.065941
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1682711749.1439426
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\setuptools\_path.py first seen with mtime 1682710247.595752
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\contrib\contenttypes\apps.py first seen with mtime 1682711748.2007308
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\sqlparse\utils.py first seen with mtime 1682711706.886929
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1682711706.8879638
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File C:\Users\Data_Science\AppData\Local\Programs\Python\Python311\DLLs\_ctypes.pyd first seen with mtime 1680671076.0
